date,home_team,away_team,home_goals,away_goals,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,result,odds_home_win,odds_draw,odds_away_win,season,elo_home_pre,elo_away_pre,elo_diff_pre,form_wins_home,form_points_home,form_goals_scored_home,form_goals_conceded_home,form_shots_on_target_home,form_fouls_committed_home,form_win_streak_home,form_wins_away,form_points_away,form_goals_scored_away,form_goals_conceded_away,form_shots_on_target_away,form_fouls_committed_away,form_win_streak_away,home_squad_value,home_squad_size,away_squad_value,away_squad_size
2015-09-27,Watford,Crystal Palace,0,1,2,3,17,22,A,2.5375,3.24625,2.95,15,1512.508301743829,1499.433255373645,13.075046370184282,2.0,8.0,3.0,3.0,15.0,58.0,2,2.0,6.0,5.0,6.0,22.0,65.0,0,82500000.0,28,117000000.0,30
2015-09-28,West Brom,Everton,2,3,4,4,9,8,A,3.00375,3.25625,2.48875,15,1501.1571451177265,1511.9530847251178,-10.795939607391574,2.0,8.0,4.0,3.0,18.0,44.0,1,2.0,8.0,6.0,3.0,19.0,47.0,0,93500000.0,24,194300000.0,28
2015-10-03,Aston Villa,Stoke,0,1,2,5,12,12,A,2.51375,3.28,2.98125,15,1455.891915338114,1478.1144443958683,-22.222529057754628,0.0,1.0,7.0,11.0,19.0,61.0,0,1.0,5.0,5.0,7.0,19.0,42.0,1,105550000.0,28,116250000.0,29
2015-10-03,Bournemouth,Watford,1,1,6,2,8,13,D,2.13,3.35375,3.64875,15,1479.3006561110356,1498.020949343387,-18.720293232351423,2.0,7.0,9.0,9.0,22.0,56.0,0,2.0,7.0,3.0,4.0,12.0,62.0,0,52600000.0,30,82750000.0,29
2015-10-03,Chelsea,Southampton,1,3,3,5,14,14,A,1.805,3.6575,4.7225,15,1491.454825624135,1499.3914476092834,-7.936621985148349,2.0,7.0,9.0,9.0,27.0,60.0,0,2.0,8.0,8.0,4.0,32.0,44.0,1,531750000.0,24,185750000.0,27
2015-10-03,Crystal Palace,West Brom,2,0,8,2,14,13,H,1.8312500000000005,3.48625,4.797499999999999,15,1513.9206077740866,1487.4689682740664,26.451639500020292,3.0,9.0,5.0,4.0,21.0,73.0,1,2.0,7.0,6.0,6.0,22.0,43.0,0,116000000.0,29,93500000.0,24
2015-10-03,Man City,Newcastle,6,1,11,4,13,8,H,1.24125,6.55625,13.05625,15,1532.411206762543,1454.552725656938,77.85848110560505,3.0,9.0,7.0,6.0,37.0,45.0,0,0.0,2.0,3.0,7.0,14.0,57.0,0,480850000.0,25,157500000.0,28
2015-10-03,Norwich,Leicester,1,2,2,5,4,4,A,2.28625,3.4212499999999997,3.20625,15,1502.5475662643792,1515.9340868572958,-13.386520592916668,1.0,6.0,7.0,8.0,21.0,68.0,0,1.0,6.0,9.0,11.0,22.0,55.0,0,76150000.0,26,89800000.0,24
2015-10-03,Sunderland,West Ham,2,2,3,6,14,11,D,3.06125,3.40125,2.3825,15,1447.1051061146695,1522.3471233415385,-75.24201722686894,0.0,2.0,3.0,9.0,13.0,73.0,0,3.0,10.0,12.0,7.0,22.0,41.0,0,113250000.0,28,165000000.0,27
2015-10-04,Arsenal,Man United,3,0,5,5,8,17,H,2.0275,3.5975,3.73125,15,1525.4229842169989,1541.427636611552,-16.004652394553204,3.0,10.0,8.0,4.0,40.0,39.0,1,3.0,10.0,10.0,5.0,25.0,61.0,3,402000000.0,24,377250000.0,26
2015-10-04,Everton,Liverpool,1,1,4,4,10,19,D,2.7575000000000003,3.26375,2.7275,15,1525.6412615687775,1505.922763180009,19.718498388768698,2.0,8.0,6.0,5.0,19.0,45.0,1,1.0,5.0,5.0,9.0,32.0,53.0,1,194050000.0,27,330250000.0,26
2015-10-04,Swansea,Tottenham,2,2,2,11,8,19,D,2.6775,3.28625,2.74125,15,1499.0189860516691,1524.104738903653,-25.085752851983894,1.0,5.0,4.0,6.0,23.0,55.0,0,3.0,11.0,7.0,2.0,30.0,72.0,3,130750000.0,26,283000000.0,24
2015-10-17,Chelsea,Aston Villa,2,0,3,1,22,17,H,1.34125,5.26125,9.5375,15,1477.6699601070136,1442.5922455585146,35.07771454849899,1.0,4.0,7.0,10.0,25.0,62.0,0,0.0,1.0,6.0,10.0,19.0,58.0,0,542500000.0,25,121500000.0,29
2015-10-17,Crystal Palace,West Ham,1,3,1,4,9,11,A,1.99625,3.54875,3.85875,15,1522.9948100102129,1521.821020182899,1.17378982731384,3.0,9.0,5.0,3.0,23.0,75.0,2,3.0,11.0,11.0,5.0,24.0,44.0,0,120750000.0,27,165750000.0,26
2015-10-17,Everton,Man United,0,3,3,7,12,14,A,3.165,3.30375,2.38,15,1522.935204494835,1530.9391119476024,-8.003907452767407,2.0,9.0,7.0,4.0,22.0,50.0,0,3.0,9.0,10.0,8.0,22.0,63.0,0,208250000.0,27,393250000.0,25
2015-10-17,Man City,Bournemouth,5,1,11,1,11,5,H,1.3325,5.345,9.69125,15,1539.884832919584,1477.8815767145354,62.0032562050485,3.0,9.0,11.0,7.0,39.0,51.0,1,1.0,5.0,6.0,7.0,21.0,53.0,0,516000000.0,25,59750000.0,30
2015-10-17,Southampton,Leicester,2,2,6,7,16,10,D,1.76125,3.74,4.8775,15,1513.176313126405,1529.534468569462,-16.358155443057058,3.0,10.0,11.0,5.0,32.0,47.0,2,2.0,8.0,10.0,11.0,25.0,52.0,1,194000000.0,27,100000000.0,24
2015-10-17,Tottenham,Liverpool,0,0,4,3,15,11,D,2.45125,3.395,2.99125,15,1525.3065913651965,1508.6288202539515,16.67777111124451,3.0,11.0,8.0,3.0,35.0,77.0,0,1.0,5.0,6.0,10.0,28.0,59.0,0,297000000.0,24,356000000.0,26
2015-10-17,Watford,Arsenal,0,3,1,6,11,12,A,5.91125,4.10625,1.5975,15,1499.440028739887,1535.911508880948,-36.471480141060965,2.0,7.0,4.0,5.0,14.0,65.0,0,4.0,12.0,11.0,4.0,40.0,45.0,2,85250000.0,29,402000000.0,24
2015-10-17,West Brom,Sunderland,1,0,1,2,12,13,H,2.0475,3.3025,4.0225,15,1478.39476603794,1447.631209273309,30.763556764631176,2.0,7.0,4.0,5.0,18.0,47.0,0,0.0,2.0,4.0,10.0,14.0,71.0,0,97500000.0,24,101750000.0,26
2015-10-18,Newcastle,Norwich,6,2,6,6,10,10,H,2.575,3.36,2.81625,15,1447.0790994998972,1488.947184552213,-41.86808505231579,0.0,1.0,4.0,13.0,18.0,54.0,0,1.0,5.0,7.0,9.0,16.0,56.0,0,167750000.0,31,81500000.0,25
2015-10-19,Swansea,Stoke,0,1,2,2,6,14,A,2.0262499999999997,3.3587499999999997,4.04125,15,1497.817133590126,1491.4141141754678,6.403019414658047,1.0,5.0,5.0,7.0,16.0,54.0,0,2.0,7.0,5.0,6.0,23.0,49.0,2,130750000.0,26,115750000.0,26
2015-10-24,Arsenal,Everton,2,1,5,5,11,14,H,1.43375,4.6275,7.90625,15,1548.7229151578413,1509.152611587421,39.570303570420265,4.0,12.0,13.0,4.0,37.0,49.0,3,2.0,8.0,7.0,7.0,22.0,53.0,0,402000000.0,24,208250000.0,27
2015-10-24,Aston Villa,Swansea,1,2,3,4,10,8,A,2.9312500000000004,3.1775,2.59875,15,1433.7965232898484,1483.551177945219,-49.75465465537059,0.0,0.0,4.0,10.0,14.0,65.0,0,0.0,2.0,3.0,7.0,14.0,54.0,0,121500000.0,29,130750000.0,26
2015-10-24,Leicester,Crystal Palace,1,0,3,4,7,11,H,2.2225,3.39125,3.37,15,1531.0339265113294,1508.90350876064,22.130417750689503,2.0,8.0,11.0,12.0,30.0,43.0,0,2.0,6.0,4.0,5.0,18.0,69.0,0,100000000.0,24,120750000.0,27
2015-10-24,Norwich,West Brom,0,1,3,4,11,6,A,2.0162500000000003,3.41625,3.9675,15,1477.5728707776314,1487.32932292013,-9.756452142498574,1.0,5.0,9.0,12.0,21.0,54.0,0,2.0,7.0,4.0,5.0,14.0,50.0,1,81500000.0,25,97500000.0,24
2015-10-24,Stoke,Watford,0,2,1,3,10,18,A,2.09375,3.29,3.84,15,1505.680069820375,1486.628622462994,19.051447357380766,3.0,10.0,6.0,5.0,20.0,59.0,3,2.0,7.0,4.0,6.0,15.0,64.0,0,115750000.0,26,85250000.0,29
2015-10-24,West Ham,Chelsea,2,1,5,4,10,12,H,3.89625,3.63125,1.97125,15,1535.912321432472,1486.4656823756798,49.446639056792264,3.0,11.0,11.0,6.0,23.0,44.0,1,2.0,7.0,8.0,8.0,19.0,75.0,1,165750000.0,26,542500000.0,25
2015-10-25,Bournemouth,Tottenham,1,5,3,9,8,15,A,3.425,3.33375,2.235,15,1469.9303553287853,1522.7004111865867,-52.77005585780148,1.0,4.0,6.0,11.0,20.0,49.0,0,3.0,11.0,8.0,3.0,33.0,72.0,0,59750000.0,30,297000000.0,24
2015-10-25,Liverpool,Southampton,1,1,2,3,8,11,D,2.0525,3.4799999999999995,3.82375,15,1511.2350004325613,1511.6768551845375,-0.4418547519762796,1.0,6.0,6.0,7.0,30.0,53.0,0,2.0,8.0,10.0,7.0,30.0,59.0,0,356000000.0,26,194000000.0,27
2015-10-25,Man United,Man City,0,0,1,1,17,13,D,2.6125,3.34125,2.8200000000000003,15,1544.7217048550165,1547.836054305334,-3.1143494503176044,4.0,12.0,12.0,6.0,25.0,62.0,1,3.0,9.0,14.0,8.0,45.0,53.0,2,393250000.0,25,516000000.0,25
2015-10-25,Sunderland,Newcastle,3,0,3,8,12,10,H,2.565,3.31125,2.8874999999999997,15,1438.6966523911192,1458.4534132744789,-19.756760883359675,0.0,1.0,2.0,9.0,13.0,70.0,0,1.0,4.0,10.0,14.0,24.0,49.0,1,101750000.0,26,167750000.0,31
